words,answer,commonness,familiar,recognized
bedub,0,0.068,0.11,0.1
bedur,0,0.042,0.07,0.06
bedye,0,0.092,0.19,0.12
beech,1,0.63,1.53,0.75
beefy,1,0.872,2.38,0.95
beery,0,0.412,0.79,0.56
beest,0,0.248,0.38,0.37
beeth,0,0.128,0.23,0.18
beety,0,0.167,0.4,0.2
beeve,0,0.15,0.24,0.22
befan,0,0.052,0.07,0.08
befit,1,0.412,1.15,0.44
befog,0,0.388,1.07,0.42
befop,0,0.047,0.1,0.06
begad,0,0.097,0.19,0.13
began,1,0.958,2.81,0.98
begar,0,0.11,0.24,0.14
begat,1,0.487,1.15,0.59
begay,0,0.245,0.66,0.27
begem,0,0.123,0.29,0.15
beget,1,0.433,1.1,0.5
begin,1,0.988,2.96,0.99
begob,0,0.182,0.34,0.25
begum,0,0.375,1.08,0.39
begun,1,0.875,2.4,0.95
begut,0,0.05,0.09,0.07
behap,0,0.068,0.14,0.09
behen,0,0.112,0.22,0.15
beice,0,0.07,0.18,0.08
beige,0,0.817,2.08,0.94
being,1,0.927,2.62,0.98
beira,0,0.168,0.47,0.18
beisa,0,0.088,0.14,0.13
bejan,0,0.105,0.24,0.13
bejel,0,0.062,0.1,0.09
bejig,0,0.118,0.2,0.17
bekah,0,0.5,1.2,0.6
bekko,0,0.068,0.11,0.1
belah,0,0.108,0.26,0.13
belam,0,0.082,0.16,0.11
belar,0,0.138,0.26,0.19
belay,0,0.407,1.03,0.47
belch,1,0.852,2.23,0.96
belee,0,0.18,0.42,0.22
belga,0,0.17,0.39,0.21
belie,1,0.217,0.4,0.3
belle,1,0.787,1.96,0.92
belly,1,0.983,2.96,0.98
below,1,0.993,2.99,0.99
belve,0,0.117,0.22,0.16
bemad,0,0.047,0.07,0.07
beman,0,0.168,0.44,0.19
bemar,0,0.083,0.17,0.11
bemat,0,0.085,0.15,0.12
bemix,0,0.088,0.14,0.13
bemud,0,0.09,0.18,0.12
benab,0,0.08,0.15,0.11
bench,1,0.972,2.89,0.98
benda,0,0.147,0.34,0.18
bendy,0,0.835,2.28,0.91
benet,0,0.34,0.78,0.42
benjy,0,0.652,1.51,0.8
benne,0,0.168,0.44,0.19
benny,0,0.782,1.99,0.9
bensh,0,0.087,0.16,0.12
benty,0,0.173,0.41,0.21
benzo,0,0.493,1.34,0.54
beode,0,0.235,0.75,0.22
bepat,0,0.055,0.09,0.08
bepaw,0,0.132,0.31,0.16
bepen,0,0.128,0.38,0.13
bepun,0,0.062,0.1,0.09
berat,0,0.113,0.23,0.15
beray,0,0.082,0.16,0.11
beret,1,0.685,1.68,0.81
bergy,0,0.22,0.45,0.29
berne,0,0.48,1.11,0.59
berri,0,0.408,1.19,0.42
berry,1,0.982,2.95,0.98
berth,1,0.545,1.29,0.66
beryl,0,0.398,1.04,0.45
besan,0,0.095,0.18,0.13
besee,0,0.138,0.23,0.2
beset,1,0.598,1.52,0.69
besin,0,0.09,0.24,0.1
besit,0,0.137,0.25,0.19
besom,0,0.32,0.96,0.32
besot,0,0.215,0.63,0.22
bespy,0,0.12,0.21,0.17
besra,0,0.062,0.1,0.09
betag,0,0.11,0.18,0.16
betel,1,0.275,0.87,0.26
betis,0,0.123,0.23,0.17
betso,0,0.185,0.54,0.19
betty,0,0.91,2.55,0.97
bevel,1,0.56,1.38,0.66
bever,0,0.553,1.19,0.71
bevue,0,0.108,0.2,0.15
bewet,0,0.13,0.3,0.16
bewig,0,0.25,0.63,0.29
bezel,1,0.377,1.09,0.39
bezzi,0,0.055,0.03,0.1
bezzo,0,0.048,0.05,0.08
bhalu,0,0.095,0.21,0.12
bhang,0,0.197,0.58,0.2
bhara,0,0.108,0.23,0.14
bhava,0,0.035,0.03,0.06
biabo,0,0.085,0.21,0.1
bible,1,0.91,2.49,0.99
bicep,1,0.842,2.2,0.95
bichy,0,0.09,0.15,0.13
bidar,0,0.108,0.29,0.12
biddy,1,0.655,1.56,0.79
bider,0,0.2,0.42,0.26
bidet,0,0.45,1.35,0.45
bidri,0,0.057,0.1,0.08
bield,0,0.1,0.21,0.13
bifer,0,0.092,0.16,0.13
bifid,0,0.23,0.66,0.24
bigha,0,0.052,0.07,0.08
bight,0,0.262,0.76,0.27
bigot,1,0.775,1.95,0.9
bijou,0,0.36,1.05,0.37
bilbo,0,0.567,1.33,0.69
bilby,0,0.22,0.66,0.22
bilch,0,0.083,0.11,0.13
bilge,1,0.4,1.08,0.44
bilgy,0,0.123,0.17,0.19
bilic,0,0.068,0.11,0.1
bilio,0,0.125,0.24,0.17
billa,0,0.495,1.32,0.55
billy,1,0.915,2.58,0.97
bilsh,0,0.073,0.14,0.1
binal,0,0.137,0.25,0.19
binge,1,0.872,2.38,0.95
bingo,1,0.858,2.21,0.98
bingy,0,0.32,0.9,0.34
binna,0,0.103,0.17,0.15
biome,1,0.615,1.62,0.69
biose,0,0.143,0.26,0.2
biota,0,0.307,0.91,0.31
biped,0,0.495,1.29,0.56
bipod,0,0.263,0.83,0.25
birch,1,0.735,1.8,0.87
birdy,0,0.725,1.83,0.84
birle,0,0.112,0.19,0.16
birma,0,0.563,1.34,0.68
birny,0,0.087,0.13,0.13
birse,0,0.125,0.24,0.17
birsy,0,0.09,0.15,0.13
birth,1,0.983,2.93,0.99
bison,1,0.722,1.66,0.89
bisti,0,0.14,0.36,0.16
bitch,0,0.928,2.63,0.98
biter,0,0.87,2.4,0.94
bitty,1,0.472,1.24,0.53
biune,0,0.063,0.11,0.09
bixin,0,0.072,0.1,0.11
bizet,0,0.203,0.41,0.27
black,1,0.995,3.0,0.99
blade,1,0.935,2.7,0.97
blady,0,0.153,0.38,0.18
blaff,0,0.233,0.65,0.25
blain,0,0.323,0.77,0.39
blair,0,0.762,1.87,0.9
blake,0,0.748,1.82,0.89
blame,1,0.977,2.92,0.98
blanc,0,0.345,0.9,0.39
bland,1,0.907,2.53,0.97
blank,1,0.575,1.92,0.51
blare,1,0.778,1.97,0.9
blart,0,0.355,1.05,0.36
blase,0,0.438,1.31,0.44
blash,0,0.477,1.3,0.52
blast,1,0.942,2.74,0.97
blate,0,0.215,0.42,0.29
blaze,1,0.872,2.35,0.96
blazy,0,0.413,1.31,0.39
bleak,1,0.747,1.9,0.86
blear,0,0.485,1.23,0.56
bleat,1,0.7,1.74,0.82
bleck,0,0.07,0.12,0.1
bleed,1,0.955,2.82,0.97
bleep,1,0.822,2.11,0.94
blend,1,0.95,2.79,0.97
blent,0,0.192,0.46,0.23
bless,1,0.973,2.9,0.98
blest,0,0.838,2.18,0.95
blibe,0,0.073,0.11,0.11
blick,0,0.153,0.38,0.18
blimp,1,0.753,1.82,0.9
blimy,0,0.52,1.11,0.67
blind,1,0.972,2.89,0.98
blink,1,0.982,2.95,0.98
bliss,1,0.8,1.98,0.94
blite,0,0.103,0.14,0.16
blitz,1,0.798,2.06,0.91
blizz,0,0.303,0.8,0.34
bloat,1,0.857,2.32,0.94
block,1,0.987,2.98,0.98
bloke,1,0.77,2.07,0.85
blond,1,0.92,2.61,0.97
blood,1,0.993,2.99,0.99
bloom,1,0.947,2.77,0.97
bloop,0,0.647,1.75,0.71
blore,0,0.247,0.61,0.29
blout,0,0.42,1.08,0.48
blown,1,0.955,2.82,0.97
blowy,0,0.595,1.47,0.7
bluer,1,0.805,2.37,0.82
blues,0,0.935,2.67,0.98
bluet,0,0.335,0.75,0.42
bluey,0,0.587,1.54,0.66
bluff,1,0.852,2.26,0.95
blunk,0,0.297,0.82,0.32
blunt,1,0.922,2.62,0.97
blurb,1,0.707,1.78,0.82
blurt,1,0.793,2.03,0.91
blush,1,0.898,2.48,0.97
blype,0,0.078,0.14,0.11
board,1,0.983,2.96,0.98
boast,1,0.86,2.25,0.97
bobac,0,0.095,0.21,0.12
bobby,1,0.898,2.48,0.97
bocal,0,0.108,0.2,0.15
bocca,0,0.242,0.55,0.3
bocce,0,0.357,1.09,0.35
bocoy,0,0.078,0.14,0.11
boden,0,0.19,0.39,0.25
boder,0,0.315,0.78,0.37
bodge,0,0.513,1.46,0.54
bodhi,0,0.268,0.86,0.25
bodle,0,0.225,0.45,0.3
bogan,0,0.265,0.75,0.28
bogey,0,0.763,1.88,0.9
boggy,0,0.662,1.63,0.78
bogie,0,0.513,1.28,0.6
bogle,0,0.51,1.26,0.6
bogue,0,0.212,0.52,0.25
bogum,0,0.06,0.09,0.09
bogus,0,0.813,2.09,0.93
bohea,0,0.117,0.28,0.14
bohor,0,0.105,0.21,0.14
boily,0,0.183,0.41,0.23
boist,0,0.182,0.46,0.21
bokom,0,0.075,0.12,0.11
bolar,0,0.188,0.44,0.23
boldo,0,0.743,1.94,0.84
boled,0,0.185,0.42,0.23
bolis,0,0.132,0.31,0.16
bolly,0,0.325,0.81,0.38
bolti,0,0.242,0.7,0.25
bolus,0,0.227,0.67,0.23
bombo,0,0.305,0.96,0.29
bonce,0,0.322,0.85,0.36
boned,0,0.785,2.04,0.89
boner,0,0.818,2.12,0.93
boney,1,0.665,1.65,0.78
bongo,1,0.685,1.74,0.79
bonny,0,0.582,1.42,0.69
bonus,1,0.963,2.84,0.98
bonze,0,0.338,0.8,0.41
booby,1,0.777,1.93,0.91
boody,0,0.542,1.36,0.63
booky,0,0.333,0.77,0.41
booly,0,0.168,0.35,0.22
boomy,0,0.548,1.49,0.6
boonk,0,0.113,0.23,0.15
boort,0,0.223,0.44,0.3
boose,0,0.558,1.25,0.7
boost,1,0.943,2.75,0.97
boosy,0,0.427,1.0,0.52
booth,1,0.863,2.3,0.96
boots,0,0.985,2.97,0.98
booty,1,0.862,2.32,0.95
booze,1,0.863,2.3,0.96
boozy,1,0.77,1.95,0.89
borak,0,0.11,0.24,0.14
boral,0,0.152,0.31,0.2
borax,1,0.57,1.56,0.62
boree,0,0.232,0.58,0.27
borer,0,0.617,1.63,0.69
borgh,0,0.075,0.12,0.11
boric,0,0.432,1.06,0.51
borne,1,0.8,2.07,0.91
boron,0,0.562,1.33,0.68
borty,0,0.1,0.18,0.14
bortz,0,0.182,0.52,0.19
boryl,0,0.05,0.03,0.09
bosch,0,0.588,1.55,0.66
boser,0,0.197,0.4,0.26
bosky,0,0.165,0.42,0.19
bosom,1,0.652,1.45,0.82
bossy,1,0.92,2.61,0.97
bosun,0,0.337,0.88,0.38
botch,1,0.8,2.04,0.92
bothy,0,0.17,0.39,0.21
bouge,0,0.187,0.46,0.22
bough,1,0.64,1.68,0.72
boule,1,0.34,1.08,0.32
bound,1,0.945,2.76,0.97
bourd,0,0.198,0.44,0.25
bourg,0,0.325,0.93,0.34
bourn,0,0.492,1.24,0.57
bouse,0,0.222,0.61,0.24
bousy,0,0.175,0.39,0.22
bouto,0,0.175,0.45,0.2
bovid,0,0.15,0.39,0.17
bowed,0,0.808,2.12,0.91
bowel,1,0.778,2.0,0.89
bower,0,0.475,1.17,0.56
bowet,0,0.107,0.22,0.14
bowie,0,0.69,1.65,0.83
bowla,0,0.183,0.44,0.22
bowls,0,0.983,2.96,0.98
bowly,0,0.387,0.91,0.47
boxen,0,0.367,0.85,0.45
boxer,1,0.893,2.45,0.97
boxty,0,0.082,0.1,0.13
boyar,0,0.23,0.66,0.24
boyer,0,0.425,1.08,0.49
boyla,0,0.075,0.12,0.11
bozal,0,0.108,0.26,0.13
bozze,0,0.06,0.09,0.09
braca,0,0.133,0.32,0.16
brace,1,0.853,2.27,0.95
brach,0,0.24,0.69,0.25
brack,0,0.29,0.69,0.35
bract,0,0.215,0.57,0.24
braid,1,0.865,2.31,0.96
brail,0,0.518,1.25,0.62
brain,1,0.995,3.0,0.99
brake,1,0.985,2.97,0.98
braky,0,0.198,0.41,0.26
brand,1,0.985,2.97,0.98
brank,0,0.26,0.6,0.32
brant,0,0.425,1.08,0.49
brash,1,0.662,1.72,0.75
brass,1,0.865,2.28,0.97
brave,1,0.967,2.83,0.99
bravo,1,0.828,2.09,0.96
brawl,1,0.827,2.11,0.95
brawn,1,0.853,2.3,0.94
braws,0,0.737,1.87,0.85
braxy,0,0.068,0.05,0.12
braza,0,0.143,0.35,0.17
braze,0,0.493,1.22,0.58
bread,1,0.995,3.0,0.99
break,1,0.995,3.0,0.99
bream,0,0.443,1.16,0.5
breba,0,0.067,0.13,0.09
breck,0,0.425,1.17,0.46
brede,0,0.148,0.41,0.16
bredi,0,0.193,0.59,0.19
breed,1,0.897,2.5,0.96
breek,0,0.233,0.59,0.27
breme,0,0.165,0.36,0.21
brent,0,0.65,1.62,0.76
breth,0,0.187,0.31,0.27
brett,0,0.733,1.73,0.89
breva,0,0.133,0.32,0.16
breve,0,0.238,0.71,0.24
briar,1,0.525,1.35,0.6
bribe,1,0.84,2.16,0.96
brick,1,0.977,2.89,0.99
bride,1,0.862,2.23,0.98
brief,1,0.96,2.85,0.97
brier,0,0.373,1.04,0.4
brill,0,0.507,1.39,0.55
brine,1,0.713,1.85,0.81
bring,1,0.995,3.0,0.99
brink,1,0.772,1.93,0.9
briny,1,0.445,1.17,0.5
brisk,1,0.827,2.17,0.93
briss,0,0.128,0.32,0.15
brith,0,0.193,0.35,0.27
brizz,0,0.115,0.24,0.15
broad,1,0.973,2.93,0.97
broch,0,0.233,0.47,0.31
brock,0,0.647,1.6,0.76
broil,1,0.823,2.15,0.93
broke,1,0.988,2.99,0.98
broll,0,0.26,0.63,0.31
broma,0,0.437,1.39,0.41
brome,0,0.468,1.16,0.55
bronc,0,0.598,1.55,0.68
bronk,0,0.46,1.29,0.49
brood,1,0.66,1.68,0.76
brook,1,0.843,2.21,0.95
brool,0,0.088,0.14,0.13
broom,1,0.947,2.77,0.97
broon,0,0.138,0.2,0.21
brose,0,0.268,0.56,0.35
brosy,0,0.355,1.02,0.37
broth,1,0.87,2.37,0.95
brown,1,0.993,2.99,0.99
brugh,0,0.128,0.2,0.19
bruin,0,0.55,1.53,0.59
bruit,0,0.225,0.57,0.26
bruke,0,0.177,0.58,0.16
brume,0,0.215,0.66,0.21
brunt,1,0.695,1.8,0.79
brush,1,0.988,2.99,0.98
brute,1,0.837,2.14,0.96
bruzz,0,0.16,0.33,0.21
buaze,0,0.052,0.07,0.08
bubal,0,0.07,0.12,0.1
bubby,0,0.797,2.08,0.9
bucca,0,0.155,0.27,0.22
buchu,0,0.082,0.16,0.11
bucko,0,0.378,1.07,0.4
bucky,0,0.67,1.74,0.76
buddy,1,0.963,2.84,0.98
budge,1,0.56,1.47,0.63
buffy,0,0.728,1.79,0.86
bugan,0,0.125,0.3,0.15
buggy,1,0.81,2.1,0.92
bugle,1,0.647,1.48,0.8
bugre,0,0.142,0.28,0.19
build,1,0.995,3.0,0.99
built,1,0.975,2.91,0.98
buist,0,0.102,0.16,0.15
bulak,0,0.088,0.17,0.12
bulby,0,0.215,0.42,0.29
bulge,1,0.855,2.28,0.95
bulgy,0,0.672,1.81,0.74
bulky,1,0.848,2.27,0.94
bulla,0,0.292,0.88,0.29
bully,1,0.927,2.62,0.98
bulse,0,0.188,0.44,0.23
bumbo,0,0.428,1.1,0.49
bumpy,0,0.933,2.69,0.97
bunce,0,0.937,2.74,0.96
bunch,1,0.982,2.95,0.98
bundy,0,0.562,1.54,0.61
bungo,0,0.442,1.21,0.48
bungy,0,0.71,1.77,0.83
bunko,0,0.5,1.35,0.55
bunny,1,0.915,2.55,0.98
bunty,0,0.565,1.44,0.65
bunya,0,0.168,0.47,0.18
buran,0,0.153,0.41,0.17
burao,0,0.048,0.05,0.08
burel,0,0.073,0.11,0.11
buret,0,0.203,0.41,0.27
burgh,0,0.602,1.42,0.73
burin,0,0.123,0.23,0.17
burka,0,0.547,1.57,0.57
burke,0,0.707,1.66,0.86
burly,1,0.743,1.88,0.86
burnt,1,0.982,2.95,0.98
burny,0,0.185,0.42,0.23
burro,0,0.552,1.54,0.59
burry,0,0.323,0.68,0.42
bursa,0,0.262,0.82,0.25
burse,0,0.495,1.2,0.59
burst,1,0.957,2.83,0.97
busby,0,0.345,0.96,0.37
bused,1,0.638,1.73,0.7
bushi,0,0.332,1.18,0.27
bushy,1,0.803,2.06,0.92
busky,0,0.287,0.79,0.31
bussu,0,0.077,0.19,0.09
butch,1,0.872,2.35,0.96
butic,0,0.158,0.35,0.2
butte,1,0.55,1.38,0.64
butty,0,0.543,1.34,0.64
butyl,0,0.292,0.76,0.33
butyr,0,0.09,0.12,0.14
buxom,1,0.635,1.53,0.76
buyer,1,0.955,2.79,0.98
buzzy,0,0.925,2.67,0.96
bylaw,1,0.538,1.4,0.61
byous,0,0.12,0.27,0.15
bysen,0,0.075,0.15,0.1
byway,0,0.5,1.26,0.58
caama,0,0.063,0.08,0.1
cabal,1,0.573,1.49,0.65
caban,0,0.263,0.92,0.22
cabas,0,0.238,0.8,0.21
cabby,1,0.723,1.73,0.87
cabda,0,0.067,0.16,0.08
caber,0,0.313,0.86,0.34
cabin,1,0.847,2.17,0.97
cabio,0,0.097,0.19,0.13
cable,1,0.968,2.9,0.97
cabob,0,0.335,0.96,0.35
cabot,0,0.403,1.1,0.44
cacam,0,0.085,0.15,0.12
cacao,1,0.485,1.32,0.53
cache,1,0.767,2.02,0.86
cacti,1,0.793,2.0,0.92
cacur,0,0.082,0.16,0.11
caddy,1,0.738,1.97,0.82
cader,0,0.183,0.5,0.2
cadet,1,0.727,1.84,0.84
cadew,0,0.08,0.12,0.12
cadge,0,0.253,0.8,0.24
cadgy,0,0.277,0.73,0.31
cados,0,0.105,0.18,0.15
cadre,0,0.445,1.23,0.48
cadua,0,0.063,0.11,0.09
cadus,0,0.092,0.16,0.13
caeca,0,0.062,0.1,0.09
caffa,0,0.083,0.14,0.12
cafiz,0,0.072,0.1,0.11
caged,0,0.852,2.29,0.94
cager,0,0.498,1.28,0.57
cagey,1,0.677,1.78,0.76
caggy,0,0.232,0.58,0.27
cagit,0,0.06,0.09,0.09
cahiz,0,0.05,0.03,0.09
cahot,0,0.077,0.16,0.1
cahow,0,0.1,0.24,0.12
caird,0,0.228,0.59,0.26
cairn,1,0.458,1.16,0.53
cajun,0,0.737,1.9,0.84
caker,0,0.955,2.79,0.98
cakey,0,0.502,1.15,0.62
calid,0,0.13,0.33,0.15
calix,0,0.167,0.46,0.18
calli,0,0.173,0.38,0.22
callo,0,0.398,1.16,0.41
calmy,0,0.342,1.0,0.35
calor,0,0.25,0.78,0.24
calve,0,0.583,1.52,0.66
calyx,0,0.27,0.78,0.28
caman,0,0.153,0.35,0.19
camel,1,0.85,2.16,0.98
cameo,1,0.7,1.71,0.83
campo,0,0.392,1.21,0.38
camus,0,0.293,0.74,0.34
canal,1,0.827,2.11,0.95
canch,0,0.213,0.65,0.21
candy,1,0.992,2.98,0.99
canel,0,0.218,0.5,0.27
caner,0,0.232,0.46,0.31
canid,0,0.242,0.73,0.24
canna,0,0.322,0.97,0.32
canny,1,0.64,1.68,0.72
canoe,1,0.798,1.97,0.94
canon,1,0.785,1.95,0.92
canso,0,0.157,0.31,0.21
canto,0,0.363,1.04,0.38
canty,0,0.118,0.14,0.19
canun,0,0.088,0.17,0.12
caoba,0,0.11,0.27,0.13
capax,0,0.07,0.15,0.09
caped,0,0.71,1.77,0.83
capel,0,0.545,1.44,0.61
caper,1,0.692,1.84,0.77
capes,0,0.805,2.07,0.92
capon,0,0.31,0.9,0.32
capot,0,0.172,0.4,0.21
cappy,0,0.55,1.44,0.62
capsa,0,0.333,1.01,0.33
caput,1,0.128,0.17,0.2
carat,1,0.7,1.8,0.8
carbo,0,0.492,1.51,0.48
cardo,0,0.773,2.15,0.83
carer,0,0.882,2.44,0.95
caret,0,0.402,1.09,0.44
carga,0,0.333,0.98,0.34
cargo,1,0.818,2.12,0.93
carid,0,0.113,0.23,0.15
carls,0,0.498,1.19,0.6
caroa,0,0.092,0.16,0.13
carob,0,0.282,0.94,0.25
carol,1,0.872,2.32,0.97
carom,0,0.478,1.22,0.55
carry,1,0.99,3.0,0.98
carse,0,0.468,1.13,0.56
carte,0,0.49,1.29,0.55
carty,0,0.455,1.11,0.54
carua,0,0.08,0.15,0.11
carve,1,0.875,2.37,0.96
caryl,0,0.31,0.69,0.39
casal,0,0.227,0.58,0.26
casco,0,0.207,0.55,0.23
cased,0,0.708,1.91,0.78
caser,0,0.383,0.89,0.47
casha,0,0.14,0.42,0.14
casse,0,0.408,1.25,0.4
caste,1,0.672,1.75,0.76
catan,0,0.467,1.06,0.58
catch,1,0.993,2.99,0.99
cater,1,0.855,2.31,0.94
catty,1,0.57,1.29,0.71
cauch,0,0.152,0.37,0.18
cauda,0,0.135,0.27,0.18
cauld,0,0.593,1.34,0.74
caulk,1,0.687,1.84,0.76
cauma,0,0.088,0.2,0.11
caupo,0,0.092,0.19,0.12
cause,1,0.987,2.98,0.98
cavae,0,0.118,0.23,0.16
caval,0,0.31,0.66,0.4
cavel,0,0.303,0.62,0.4
cavie,0,0.157,0.37,0.19
cavil,1,0.348,1.04,0.35
cavus,0,0.083,0.11,0.13
cawky,0,0.195,0.33,0.28
caxon,0,0.163,0.32,0.22
cease,1,0.788,1.94,0.93
cebid,0,0.047,0.04,0.08
cebil,0,0.107,0.22,0.14
cebur,0,0.115,0.27,0.14
cedar,1,0.792,1.96,0.93
ceder,0,0.51,1.08,0.66
cedre,0,0.272,0.79,0.28
cedry,0,0.237,0.46,0.32
ceibo,0,0.078,0.17,0.1
ceile,0,0.112,0.22,0.15
cella,0,0.43,1.17,0.47
cello,1,0.733,1.76,0.88
cense,0,0.297,0.76,0.34
cento,0,0.213,0.5,0.26
ceorl,0,0.082,0.16,0.11
cequi,0,0.05,0.06,0.08
ceral,0,0.152,0.31,0.2
ceras,0,0.1,0.15,0.15
cerci,0,0.073,0.14,0.1
cered,0,0.138,0.29,0.18
cerer,0,0.135,0.24,0.19
ceria,0,0.148,0.29,0.2
ceric,0,0.137,0.22,0.2
cerin,0,0.09,0.18,0.12
certy,0,0.167,0.37,0.21
ceryl,0,0.232,0.43,0.32
cetic,0,0.083,0.14,0.12
cetin,0,0.068,0.08,0.11
cetyl,0,0.153,0.38,0.18
chack,0,0.185,0.39,0.24
chafe,1,0.515,1.5,0.53
chaff,1,0.52,1.26,0.62
chaft,0,0.208,0.41,0.28
chain,1,0.97,2.88,0.98
chair,1,0.995,3.0,0.99
chais,0,0.482,1.18,0.57
chaja,0,0.07,0.12,0.1
chaka,0,0.315,0.87,0.34
chalk,1,0.938,2.69,0.98
champ,1,0.84,2.25,0.93
chang,0,0.565,1.59,0.6
chank,0,0.182,0.43,0.22
chant,1,0.793,1.97,0.93
chaos,1,0.905,2.52,0.97
chape,0,0.337,0.67,0.45
chaps,0,0.65,1.56,0.78
chapt,0,0.282,0.7,0.33
chard,1,0.545,1.47,0.6
chare,0,0.298,0.65,0.38
chark,0,0.152,0.31,0.2
charm,1,0.913,2.57,0.97
charr,0,0.562,1.63,0.58
chart,1,0.962,2.86,0.97
chary,0,0.352,1.09,0.34
chase,1,0.972,2.89,0.98
chasm,1,0.69,1.74,0.8
chati,0,0.143,0.38,0.16
chauk,0,0.098,0.17,0.14
chaus,0,0.138,0.26,0.19
chawk,0,0.357,0.79,0.45
chawl,0,0.112,0.28,0.13
chaya,0,0.185,0.48,0.21
cheap,1,0.99,3.0,0.98
cheat,1,0.973,2.9,0.98
check,1,0.995,3.0,0.99
cheek,1,0.98,2.94,0.98
cheep,0,0.815,2.13,0.92
cheer,1,0.975,2.91,0.98
cheet,0,0.267,0.61,0.33
cheir,0,0.088,0.08,0.15
cheke,0,0.135,0.27,0.18
cheki,0,0.138,0.35,0.16
chela,0,0.148,0.29,0.2
chelp,0,0.185,0.45,0.22
chena,0,0.113,0.17,0.17
cheng,0,0.167,0.37,0.21
chert,0,0.185,0.39,0.24
chess,1,0.857,2.2,0.98
chest,1,0.985,2.97,0.98
cheth,0,0.088,0.14,0.13
cheve,0,0.172,0.4,0.21
chevy,0,0.795,2.04,0.91
chewy,0,0.927,2.68,0.96
chick,1,0.967,2.86,0.98
chico,0,0.657,1.72,0.74
chide,1,0.52,1.29,0.61
chief,1,0.923,2.63,0.97
chien,0,0.253,0.53,0.33
child,1,0.993,2.99,0.99
chile,0,0.8,2.1,0.9
chili,1,0.93,2.67,0.97
chill,1,0.988,2.99,0.98
chime,1,0.833,2.21,0.93
china,1,0.957,2.8,0.98
chine,0,0.42,0.84,0.56
ching,0,0.468,1.31,0.5
chink,0,0.67,1.59,0.81
chino,0,0.81,2.16,0.9
chint,0,0.247,0.73,0.25
chips,0,0.987,2.98,0.98
chirk,0,0.265,0.78,0.27
chirm,0,0.097,0.19,0.13
chiro,0,0.422,1.09,0.48
chirp,1,0.848,2.24,0.95
chirr,0,0.232,0.61,0.26
chive,0,0.703,1.88,0.78
chlor,0,0.263,0.59,0.33
choca,0,0.118,0.26,0.15
chock,1,0.73,1.77,0.87
choel,0,0.078,0.14,0.11
choga,0,0.072,0.13,0.1
choil,0,0.142,0.22,0.21
choir,1,0.797,1.99,0.93
choke,1,0.947,2.74,0.98
choky,0,0.187,0.4,0.24
chola,0,0.342,1.06,0.33
chold,0,0.115,0.27,0.14
choli,0,0.127,0.34,0.14
chomp,0,0.815,2.1,0.93
choop,0,0.253,0.62,0.3
chopa,0,0.12,0.3,0.14
chord,1,0.793,1.97,0.93
chore,1,0.972,2.92,0.97
chort,0,0.225,0.6,0.25
chose,1,0.957,2.8,0.98
chott,0,0.115,0.21,0.16
choup,0,0.27,0.75,0.29
chous,0,0.312,0.7,0.39
chowk,0,0.158,0.41,0.18
choya,0,0.145,0.33,0.18
chria,0,0.133,0.35,0.15
chuck,1,0.893,2.45,0.97
chufa,0,0.085,0.18,0.11
chuff,0,0.472,1.3,0.51
chump,1,0.722,1.84,0.83
chunk,1,0.91,2.58,0.96
churl,0,0.305,0.84,0.33
churm,0,0.267,0.73,0.29
churn,1,0.612,1.66,0.67
churr,0,0.31,0.87,0.33
chute,1,0.66,1.74,0.74
chyak,0,0.06,0.09,0.09
chyle,0,0.123,0.26,0.16
chyme,0,0.198,0.59,0.2
cibol,0,0.158,0.38,0.19
cicad,0,0.333,1.01,0.33
cicer,0,0.157,0.28,0.22
cider,1,0.807,2.05,0.93
cigar,1,0.828,2.06,0.97
cigua,0,0.12,0.3,0.14
cilia,0,0.433,1.07,0.51
cimex,0,0.058,0.08,0.09
cinch,1,0.802,2.11,0.9
cinct,0,0.123,0.26,0.16
cinel,0,0.093,0.17,0.13
circa,1,0.552,1.42,0.63
cirri,0,0.103,0.2,0.14
cisco,0,0.567,1.18,0.74
cista,0,0.257,0.64,0.3
citee,0,0.103,0.23,0.13
citer,0,0.213,0.5,0.26
citua,0,0.068,0.11,0.1
civet,0,0.365,1.05,0.38
civic,1,0.813,2.12,0.92
civil,1,0.933,2.66,0.98
civvy,0,0.257,0.7,0.28
clack,1,0.852,2.32,0.93
claim,1,0.947,2.77,0.97
clamb,0,0.263,0.71,0.29
clame,0,0.34,0.78,0.42
clamp,1,0.842,2.2,0.95
clang,1,0.857,2.32,0.94
clank,1,0.828,2.18,0.93
clapt,0,0.35,0.9,0.4
clark,0,0.792,1.99,0.92
claro,0,0.353,0.83,0.43
clart,0,0.137,0.31,0.17
clary,0,0.528,1.37,0.6
clash,1,0.865,2.31,0.96
clasp,1,0.827,2.2,0.92
class,1,0.988,2.99,0.98
claut,0,0.187,0.43,0.23
clava,0,0.183,0.47,0.21
clave,0,0.385,1.17,0.38
clavy,0,0.235,0.51,0.3
clawk,0,0.178,0.38,0.23
clead,0,0.155,0.39,0.18
cleam,0,0.572,1.51,0.64
clean,1,0.995,3.0,0.99
clear,1,0.995,3.0,0.99
cleat,1,0.65,1.71,0.73
cleck,0,0.172,0.34,0.23
cleek,0,0.148,0.23,0.22
cleft,1,0.705,1.77,0.82
clerk,1,0.927,2.65,0.97
cleve,0,0.37,0.96,0.42
